Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1981,13.57,18.38,21.27,25.27,26.72,27.88,24.26,23.64,22.51,21.28,18.34,16.05
1982,16.05,15.54,20.35,25.82,28.78,28.75,26.82,24.62,22.95,21.67,18.54,16.61
1983,14.42,16.79,22.64,25.16,27.99,30.05,27.04,26.1,24.71,22.79,19.97,16.57
1984,15.28,18.11,24.76,28.1,29.29,26.72,24.16,24.57,22,21.88,18.47,16.9
1985,15.01,18.1,25.08,28.45,29,30.19,24.56,24.61,22.28,19.74,17.08,15.84
1986,15.64,17.48,22.55,26.67,27.68,29.25,24.04,24.77,23.79,22.02,20.16,16.27
1987,16.3,19.12,22.23,27.23,28.71,30.97,26.15,23.86,22.9,20.33,19.33,17.61
1988,16.53,19.36,22.21,27.83,28.77,28.34,24.66,23.68,23.6,22.61,20.27,17.36
1989,14.92,17.38,22.6,28.02,29.35,28.27,25.91,24.32,24.69,23.9,19.54,16.58
1990,18.71,16.96,20.87,26.85,29.1,29.51,24.99,23.77,23.08,21.15,20.75,17.3
1991,15.21,19.84,23.59,27.72,30.71,28.09,27.28,25.47,24.05,23.77,19.4,16.62
1992,15.91,16.52,24.63,28.77,28.12,29.2,27.02,25.58,25.07,22.72,19.99,16.38
1993,15.29,19.35,21.18,26.17,28.44,28.79,27.08,25.53,23.76,23.84,20.7,18.31
1994,17.4,17.62,24.49,27.24,29.8,29.49,27.51,26.72,24.82,23.47,20.07,17.43
1995,14.95,17.75,23.22,27.78,30.97,28.66,25.4,24.24,24.12,23.62,20.55,16.53
1996,15.37,18.13,24.01,27.15,30.47,27.65,25.94,24.24,23.43,21.99,20.55,18.03
1997,15.18,16.95,22.99,24.19,29.1,29.66,25.77,25.13,25.06,22.59,20.2,15.84
1998,15.67,18.34,21.27,27.11,29.59,30.4,26.48,24.64,24.01,24,21.49,18.3
1999,16.67,21.64,25.14,29.86,28.65,28.73,26.69,25.41,24.37,23.04,20.73,17.62
2000,16.7,16.62,22.11,28.27,28.21,26.6,25.35,24.72,22.95,23.33,20.16,17.7
2001,16.53,19.74,23.41,27.49,28.1,27.93,27.33,25.84,23.31,22.48,20.47,16.81
2002,15.58,19.49,23.16,27.07,27.62,28.2,27.42,26.13,25.55,23.34,21.11,17.53
2003,16.44,17.2,21.52,27.8,28.66,28.51,26.04,26.05,24.95,24.38,20.41,16.85
2004,15.36,18.34,24.75,25.87,26.77,25.4,23.65,24.22,22.84,19.9,17.22,15.87
2005,14.38,17.71,22.4,26.17,27.46,28.99,24.71,24.06,23.53,20.76,17.82,16.81
2006,17.44,20.72,22.23,25.79,26.8,25.22,24.79,24.37,22.69,20.84,18.06,16.32
2007,15.94,15.41,20.72,26.28,27.35,26.62,24.44,23.92,22.57,21.3,18.27,16.41
2008,15.06,16.4,22.36,26.49,27.21,24.73,23.78,23.5,22.46,20.68,18.73,16.79
2009,17.34,19.82,23.09,27.74,26.78,28.01,26.57,24.11,23.44,21.64,19.54,16.4
2010,17.21,18.33,24.95,29.29,28.21,29.12,25.44,24.04,22.53,20.95,18.46,15.81
2011,14.08,17.95,22.5,24.83,26.65,26.88,23.8,23.48,22.73,21.05,17.65,16.02
2012,13.52,18.09,21.97,26.4,29.96,30.09,25.33,24.26,23.01,20.07,17.47,16.17
2013,14.32,17.9,22.72,25.32,27.88,25.83,24.84,23.67,23.12,20.39,17.79,14.93
2014,15.19,16.63,21.26,26.75,27.69,28.06,24.52,23.76,22.51,20.35,18.3,16.13
2015,15.12,17.97,20.82,23.41,28.11,28.28,24.85,23.92,23.18,20.98,18.63,15.42
2016,14.8,19.54,23.61,29.17,27.12,25.95,23.78,24.23,22.58,21.23,18.87,17.54
2017,16.07,19.77,20.79,26.38,26.93,27.81,24.83,23.6,23.29,21.81,18.68,18.25
2018,15.68,18.77,23.05,24.49,25.77,26.08,25.01,23.89,23.55,20.94,19.36,16.07
2019,15.17,17.14,21.09,25.21,28.52,28.3,24.57,24.33,22.37,20.26,18.63,13.81
